User,Type,Screenshot,Order,Video,Channels,Verified ,Bias Rating,Factual,MBFC Credibility Rating
Candice,Left,R7,2,how america reacted when joe biden was elected president,cbc news,,left-center,high,high
Candice,Left,R7,3,nbc nightly news broadcast (full) ,nbc news ,,left-center,high,high
Candice,Left,R7,4,Former Ukraine Advisor To Zelensky Says Giuliani Wanted A Smear Campaign Against Biden | MSNBC,msnbc ,,left ,mixed,medium
Candice,Left,R7,5,watch sky news live,sky news,,least bias,high,high credibility 
Candice,Left,R7,6,watch live: track the impact of global warming on the world,sky news,,least bias,high,high credibility 
Derren,Right ,Search,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Derren,Right ,Search,2,Election Results 2020: Last Week Tonight with John Oliver (HBO),LastWeekTonight,,,,
Derren,Right ,Search,3,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Derren,Right ,Search,4,2020 presidential election results are officially certified,inside edition,,left-center,high,
Derren,Right ,Search,5,Map shows how election results shifted toward Biden,CNN,,left ,mixed,medium credibility
Derren,Right ,R1,1,2020 Election Results and Analysis | TODAY,TODAY,,left-center,mostly factual,
Derren,Right ,R1,2,president donald trump attempts to claim election victory as several states still count ballots,cnbc television,,left-center,mostly factual,
Derren,Right ,R1,3,The Funniest Greg Davies' Moments on The Graham Norton Show,The Graham Norton Show,,,,
Derren,Right ,R1,4,bombshell report claims teachers union pressured CDC; the five react,fox news ,,right,mixed,medium credibility
Derren,Right ,R1,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Derren,Right ,R1,6,Trey Gowdy predicts Biden will cause Democrats to lose the House,fox news ,,right,mixed,medium credibility
Derren,Right ,R2,1,"final 2020 presidential debate between donald trump, joe biden",nbc news ,,left-center,high,high
Derren,Right ,R2,2,"15 Times Ryan AND Colin Owned ""Whose Line Is It, Anyway?""",Next of Ken,,,,
Derren,Right ,R2,3,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,nbc news ,,left-center,high,high
Derren,Right ,R2,4,Whose Line - Best Of Laughter - Part 1 of 3,WrestlingFanatic08,0,,,
Derren,Right ,R2,5,watch: today all day | the best of today news,TODAY,,left-center,mostly factual,
Derren,Right ,R2,6,watch in full: trump versus biden in the first us presidential election debate,sky news,,least bias,high,high credibility 
Derren,Right ,R3,1,replay: the first 2020 presidential debate on CNN,cnn,,left ,mixed,medium credibility
Derren,Right ,R3,2,Gutfeld: Biden offers message of 'unify then crucify',fox news ,,right,mixed,medium credibility
Derren,Right ,R3,3,Mary Trump on Her Uncle’s Loss,katie couric,,,,
Derren,Right ,R3,4,axios on hbo: president trump exclusive interview (Full Episode) | HBO,hbo,,,,
Derren,Right ,R3,5,live: nbc news now,nbc news ,,left-center,high,high
Derren,Right ,R3,6,trey Gowdy predicts Biden will cause Democrats to lose the House,fox news ,,right,mixed,medium credibility
Derren,Right ,R4,1,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Derren,Right ,R4,2,first debate cold open - snl,saturday night live,,,,
Derren,Right ,R4,3,President Trump goes one-on-one with Chris Wallace | Full Interview,fox news ,,right,mixed,medium credibility
Derren,Right ,R4,4,replay: the 2020 vice presidential debate on CNN,cnn,,left ,mixed,medium credibility
Derren,Right ,R4,5,full phone call: trump pressures georgia secretary of State To Recount Election Votes | NBC News,nbc news ,,left-center,high,high
Derren,Right ,R4,6,replay: the final 2020 presidential debate on CNN,cnn,,left ,mixed,medium credibility
Derren,Right ,R5,1,watch: the first 2020 presidential debate,pbs newshour,,left-center,high,high
Derren,Right ,R5,2,axios on hbo: president trump exclusive interview (Full Episode) | HBO,hbo,,,,
Derren,Right ,R5,3,barack obama: the 2020 60 minutes interview,60 minutes,,left-center,high,high
Derren,Right ,R5,4,watch: the full 2020 vice presidential debate,pbs newshour,,left-center,high,high
Derren,Right ,R5,5,"final 2020 presidential debate between donald trump, joe biden",nbc news ,,left-center,high,high
Derren,Right ,R5,6,"Celebrity Jeopardy! Kathie Lee, Tom Hanks, Sean Connery, Burt Reynolds - SNL",saturday night live,,,,
Derren,Right ,R6,1,replay: the first 2020 presidential debate on CNN,cnn,,left ,mixed,medium credibility
Derren,Right ,R6,2,watch: the second and final 2020 presidential debate,pbs newshour,,left-center,high,high
Derren,Right ,R6,3,kennedy vs nixon: the first 1960 presidential debate,pbs newshour,,left-center,high,high
Derren,Right ,R6,4,first debate cold open - snl,saturday night live,,,,
Derren,Right ,R6,5,watch: the full 2020 vice presidential debate,pbs newshour,,left-center,high,high
